,title,link,id,stars,score,date
483,De Alchemist (NL) -  Deel 2 / 2,https://www.youtube.com/watch?v=kahTPdrKvLc,kahTPdrKvLc,4.0,8.0,2015-11-06
484,Freedom - The Underground Railroad (NL),https://www.youtube.com/watch?v=qgj-cXfbzss,qgj-cXfbzss,4.0,8.0,2015-10-23
485,Specter Ops (NL),https://www.youtube.com/watch?v=Wlclj7FUF8o,Wlclj7FUF8o,4.0,8.0,2015-10-07
486,Kemet (NL),https://www.youtube.com/watch?v=Y2pEfsfj9ZE,Y2pEfsfj9ZE,4.0,8.0,2015-10-06
487,Stratego Waterloo (NL),https://www.youtube.com/watch?v=-EAGyYZ_V-Y,-EAGyYZ_V-Y,4.0,8.0,2015-10-05
488,Cards Against Humanity (NL),https://www.youtube.com/watch?v=DmU4AFp1d-I,DmU4AFp1d-I,5.0,8.0,2015-09-28
489,Dust (NL),https://www.youtube.com/watch?v=DUDKFLFn5Ao,DUDKFLFn5Ao,,8.0,2015-09-15
490,Stratego Waterloo - Expert Variant (NL),https://www.youtube.com/watch?v=O3v69d58WiM,O3v69d58WiM,,8.0,2015-09-13
491,Samurai (NL),https://www.youtube.com/watch?v=nw93nDMvJMQ,nw93nDMvJMQ,4.0,8.0,2015-09-09
492,Robinson Crusoe - The Voyage of the Beagle N(L),https://www.youtube.com/watch?v=XjQC5rVqYTE,XjQC5rVqYTE,4.0,8.0,2015-09-03
493,12 Realms (NL),https://www.youtube.com/watch?v=8E6aAsAEjAk,8E6aAsAEjAk,,8.0,2015-08-07
494,Rex: Final Days of an Empire (NL),https://www.youtube.com/watch?v=Gs0HflW2enw,Gs0HflW2enw,,8.0,2015-07-22
495,Brieven uit Whitechapel (NL),https://www.youtube.com/watch?v=EtGS2nkRbGo,EtGS2nkRbGo,4.0,8.0,2015-07-15
496,La Granja (NL) - Deel 2 / 2,https://www.youtube.com/watch?v=il2S5WTxf2I,il2S5WTxf2I,4.0,8.0,2015-07-14
497,Attack Wing - Dungeons & Dragons (NL),https://www.youtube.com/watch?v=b1GGdgz1SVY,b1GGdgz1SVY,4.0,8.0,2015-07-13
498,War Point (NL),https://www.youtube.com/watch?v=yGlLiyemVhY,yGlLiyemVhY,,8.0,2015-07-07
499,Kraftwagen (NL),https://www.youtube.com/watch?v=2ziR3ItC8vg,2ziR3ItC8vg,4.0,8.0,2015-06-24
500,Descent 1st vs. 2nd Edition (NL),https://www.youtube.com/watch?v=f4tTr-oj6lE,f4tTr-oj6lE,4.0,8.0,2015-06-19
501,Patchwork (NL),https://www.youtube.com/watch?v=yIiQjc23hRw,yIiQjc23hRw,4.0,8.0,2015-05-18
502,"De Kolonisten van Catan ""Kooplieden & Barbaren"" (NL)",https://www.youtube.com/watch?v=4J9aDs0lTgY,4J9aDs0lTgY,4.0,8.0,2015-05-13
503,Xenoshyft Onslaught (NL),https://www.youtube.com/watch?v=ULvcqb7yEMc,ULvcqb7yEMc,4.0,8.0,2015-04-28
504,Lords of Waterdeep - Scoundrels of Skullport (NL),https://www.youtube.com/watch?v=yPbksmEsKPw,yPbksmEsKPw,4.0,8.0,2015-04-17
505,Homesteaders (NL),https://www.youtube.com/watch?v=TZyEr1Cc2PM,TZyEr1Cc2PM,4.0,8.0,2015-04-09
506,Argent: The Consortium (NL),https://www.youtube.com/watch?v=hFabBNQ0E7g,hFabBNQ0E7g,4.0,8.0,2015-03-11
507,Machi Koro - De Haven (NL),https://www.youtube.com/watch?v=4gJS34u1WRg,4gJS34u1WRg,4.0,8.0,2015-02-19
508,1 Nacht Weerwolven & Waaghalzen (NL),https://www.youtube.com/watch?v=qhBaTBr0ItM,qhBaTBr0ItM,4.0,8.0,2015-02-19
509,Special - De Geeknson Gaming Tafel,https://www.youtube.com/watch?v=gWhevtNt61c,gWhevtNt61c,,8.0,2015-02-12
510,Samsara (NL),https://www.youtube.com/watch?v=06H3Ffc_qLo,06H3Ffc_qLo,,8.0,2015-01-26
