title;link;id;stars;score;date
Het Dorp (NL);https://www.youtube.com/watch?v=XjocDtQ0Dno;XjocDtQ0Dno;;;18-12-2012
Coco Colecto (NL);https://www.youtube.com/watch?v=_hvBy-rWkI8;_hvBy-rWkI8;;8;16-12-2012
Koplopers en Dwarsliggers (NL);https://www.youtube.com/watch?v=BU3-rlApm4g;BU3-rlApm4g;;;15-12-2012
Nox' Spellenzolder- 2 Speler Spellen Top 5;https://www.youtube.com/watch?v=9WFYvmhMvnM;9WFYvmhMvnM;;5;14-12-2012
Nox' Spellenzolder - Party/Coop Spellen Top 5;https://www.youtube.com/watch?v=i8QonTfbuM4;i8QonTfbuM4;;;14-12-2012
Nox' Spellenzolder Bordspel Top 10 (2012);https://www.youtube.com/watch?v=uxA66qERvHE;uxA66qERvHE;;10;11-12-2012
Het Piratenspel (NL);https://www.youtube.com/watch?v=Abq9b_ST1xg;Abq9b_ST1xg;;8;09-12-2012
Space Dealer (NL);https://www.youtube.com/watch?v=fgkyvm549Rg;fgkyvm549Rg;;2;08-12-2012
Lorrein (NL);https://www.youtube.com/watch?v=CebZGB6s88c;CebZGB6s88c;;7;07-12-2012
Indonesia (NL) - Deel 2 / 2;https://www.youtube.com/watch?v=dS9Ai6jzH8M;dS9Ai6jzH8M;;8;07-12-2012
Indonesia (NL) - Deel 1 / 2;https://www.youtube.com/watch?v=_s2Q4H49HvI;_s2Q4H49HvI;;;06-12-2012
Gauntlet of Fools (NL);https://www.youtube.com/watch?v=U_lA-X27WFE;U_lA-X27WFE;;6;06-12-2012
Dungeon Fighter (NL);https://www.youtube.com/watch?v=sSvLahOROJo;sSvLahOROJo;;;03-12-2012
Keythedral (NL);https://www.youtube.com/watch?v=5vKUWGoBcOE;5vKUWGoBcOE;;7;02-12-2012
Avalon (NL);https://www.youtube.com/watch?v=C7AF0GBroak;C7AF0GBroak;;8;02-12-2012
Who Would Win (NL);https://www.youtube.com/watch?v=0TKfq5g8dWM;0TKfq5g8dWM;;;30-11-2012
Tomb (NL);https://www.youtube.com/watch?v=eMvBguDStyk;eMvBguDStyk;;;30-11-2012
Muisgeflipt (NL);https://www.youtube.com/watch?v=6sTQoWhOS7Q;6sTQoWhOS7Q;;8;29-11-2012
Love Letter (NL);https://www.youtube.com/watch?v=_2PuXy6YXDA;_2PuXy6YXDA;;;24-11-2012
Chipleader (NL);https://www.youtube.com/watch?v=WlK3U-HwQ0I;WlK3U-HwQ0I;;;24-11-2012
Grabbelen (NL);https://www.youtube.com/watch?v=vQf8HtRNwu0;vQf8HtRNwu0;;;24-11-2012
City of Horror (NL);https://www.youtube.com/watch?v=b2YDTpszlNQ;b2YDTpszlNQ;;;22-11-2012
Elfenland (NL);https://www.youtube.com/watch?v=NWB2-txfKCo;NWB2-txfKCo;;;21-11-2012
Het Spellenspektakel - Asmodee;https://www.youtube.com/watch?v=8tdiGAXsjQE;8tdiGAXsjQE;;;21-11-2012
Kumbu   Het Dubbelzijdige Kaartspel NL;https://www.youtube.com/watch?v=lfSvHIXSmmY;lfSvHIXSmmY;;;20-11-2012
